流水號,文字記錄,配置,刺殺,分類,日期時間,場次,頁碼,note,玩1,玩2,玩3,玩4,玩5,玩6,玩7,玩8,玩9,玩0,結果,第一局成功失敗,第二局成功失敗,第三局成功失敗,第四局成功失敗,第五局成功失敗,第一局,第二局,第三局,第四局,第五局,組成,強人,戳人,局勢,首湖,二湖,三湖,首湖玩家,二湖玩家,三湖玩家,角1,角4,角5,角0,2025-01-01 00:00:00,派5,派0,外灑
55,"489 1+
259
468 137+
oox
1490 1-
2580
1569
1679
3589
ooox
0>2 o
2390 23-
1250 12-
1345
1236
1236 58+
ooox",158709,,面瓦,1900-01-02 00:00:00,15,,,,,,,,,,,,海月,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , , , , , , 海月",0,1,紅紅紅,0>2,,,派,忠,,刺,忠,娜,派,489,N,N,Y
56,"147
146 2+
379
679 4+
359
ooo
3590 6+
3579
2460 8+
3579
3590
ooxx
0>4 o
1246
1246
3467
4679 20+
ooox
4>7 x
13456 6- 79+
ooooo
7>3 x
14568
oooox",731952,,面瓦,1900-01-02 00:00:00,16,,,海月,,,,,,,,,,三紅,ooo,ooxx,ooox,ooooo,oooox,藍,紅,紅,藍,紅,"海月, , , , , , , , , ",0,1,藍紅紅藍紅,0>4,4>7,7>3,忠,忠,刺,德,忠,派,忠,147,N,N,N
57,"179 8+
468 2+
578 3+
489
580
ooo
5680
3580 8- 7+
2458
4568 8- 9+
2580
oooo
0>2 o
2580
oooo",794605,5.0,面瓦,1900-01-02 00:00:00,17,,,,,,,,,,,,海月,三藍死,ooo,oooo,oooo,,,藍,藍,藍,,,", , , , , , , , , 海月",0,1,藍藍藍,0>2,,,派,忠,,忠,德,梅,派,179,N,N,N
58,"190
278 9+
569 30+
456
569
oox
1246
2347 3-
2389 9-
1590
1290
ooox
0>4 o
1245
1245 5-
3450
1340 9+
ooox",765203,,面瓦,1900-01-02 00:00:00,18,,,海月,,,,,,,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"海月, , , , , , , , , ",0,1,紅紅紅,0>4,,,派,忠,,忠,忠,德,派,190,N,Y,N
59,"890 1+
236
370 8+
138 4+
357
ooo
3570 6+
3578 5- 1+
2378
3490
3570
oooo
0>6 x
3570
oooo",682193,3.0,面瓦,1900-01-02 00:00:00,19,,,,海月,,,,,,,,,三藍死,ooo,oooo,oooo,,,藍,藍,藍,,,", 海月, , , , , , , , ",0,1,藍藍藍,0>6,,,忠,刺,,奧,忠,忠,忠,890,N,Y,Y
60,"148
389 2+
369 2+
450
569
oox
2680
3790
1458
1290
1680
oooo
0>1 o
1680
ooxx
1>4 o
12490
12349
12459 70+
ooooo
4>5 x
12490
12680 1280-
12479
ooooo",853617,9.0,面瓦,1900-01-02 00:00:00,20,,,,,海月,,,,,,,,三藍活,oox,oooo,ooxx,ooooo,ooooo,紅,藍,紅,藍,藍,", , 海月, , , , , , , ",0,1,紅藍紅藍藍,0>1,1>4,4>5,忠,派,忠,派,忠,娜,忠,148,N,N,N
61,"148 6+
237
479 3+
147
158
oox
1469
2780
7890
1790
1470
ooox
0>1 o
1490
1246
1349 8+
1349
ooox",738945,,面瓦,1900-01-02 00:00:00,21,,,,,,Dean,,,海月,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , DEAN, , , 海月, , , ",1,1,紅紅紅,0>1,,,忠,忠,,忠,派,梅,忠,148,N,N,N
62,"123
237
370
267 4+
250
ooo
2670
2570
1368 8-
2580 9+ 0-
2580
oooo
0>5 o
1368 368- 490+
2580 134679+
ooox
5>7 o
13578 8-
24578
24579 7-
24579 6+ 7-
56780
oooox",194087,2.0,面瓦,1900-01-02 00:00:00,22,,,,,,,,,,,,,三藍活,ooo,oooo,ooox,oooox,,藍,藍,紅,藍,,", , , , , , , , , ",0,0,藍藍紅藍,0>5,5>7,,奧,忠,梅,刺,德,忠,奧,123,N,N,N
63,"149
479 2+
356
179 48+
356 
oox
2679
2479
2479 8+
1489
2470 
ooox
0>4 o
1469 4-
2478
3479 479-
2489
ooox",783521,1.0,面瓦,1900-01-02 00:00:00,23,,,,,,,,,,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , , , , , , ",0,0,紅紅紅,0>4,,,忠,忠,,梅,忠,奧,忠,149,N,N,N
64,"147 6+
249
369
456
168
oox
2469
1479
2569 6- 8+
2568 9+
5670
ooox
0>5 o
1359 59-
4589 2+ 4589-
3679 679-
1590 4+ 159-
4590
ooox",306782,,面瓦,2020-05-30 00:00:00,1,,,,,,,,,,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , , , , , , ",0,0,紅紅紅,0>5,,,娜,忠,,忠,忠,忠,娜,147,N,N,N
65,"167 59+
238
678 3+
458 9+
156
oox
3670 4+
6789 9-
3578 5-
1379
3670
ooox
0>3 o
1367 6-
1378 2+
3678
ooox",250869,9.0,線瓦,2020-06-12 00:00:00,1,,,,,,,,,,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , , , , , , ",0,0,紅紅紅,0>3,,,德,忠,,忠,忠,娜,德,167,N,N,N
66,"123
123 8+
356
124
150
oox
1246
2789
1489
1249
1480
oooo
0>1 o
1480
oooo
1>4 o
12480
ooooo",659814,4.0,面瓦,2020-06-12 00:00:00,1,,,,,,,,,,,,,三藍死,oox,oooo,oooo,ooooo,,紅,藍,藍,藍,,", , , , , , , , , ",0,0,紅藍藍藍,0>1,1>4,,忠,派,梅,派,梅,娜,忠,123,N,N,N
67,"158
289
567 13+
480
589
ooo
5890 16+ 5-
0123 7+ 2-
5789 57-
2589
6790
ooxx
0>6 o
1456 5-
2568 5-
2359 5-
3458
2589
ooox
6>9 x
12568 2-
12458 7+ 2-
13456 78+ 3-
ooooo
9>2 o
12345 9+ 1345-
67890 6789-
12458 6+ 2-
12458 6+ 
ooooo",976081,1.0,線瓦,2020-06-14 00:00:00,1,,,,,,,,,,,,,三藍死,ooo,ooxx,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,", , , , , , , , , ",0,0,藍紅紅藍藍,0>6,6>9,9>2,奧,德,刺,梅,忠,忠,奧,158,Y,N,N
68,"167 2+
478 2+
345 2+ 5-
489 2+
159
oox
3670 3-
1347
1480
3590
1590
ooxx
0>2 x
1347 37- 0+
1247 147- 0+
2347 0+
3457 5-
2468
oooo
2>5 o
24568
ooooo
5>4 o
24568
ooooo",309785,5.0,線瓦,2020-06-14 00:00:00,2,,,,,,,,,,,,,三藍死,oox,ooxx,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , , , , , , ",0,0,紅紅藍藍藍,0>2,2>5,5>4,娜,忠,梅,忠,忠,梅,娜,167,N,N,N
69,"147
289
348
458
258
oox
4569
1478
1378
2789 78-
1380
oooo
0>3 o
1380
ooox
3>8 o
23468
23468
23468 0+
ooooo
8>6 o
34568 368-
34568 38-
46780 4680-
34568 1479+
oooox",592183,3.0,線瓦,2020-06-14 00:00:00,3,,,,,,,,,,,,,三紅,oox,oooo,ooox,ooooo,oooox,紅,藍,紅,藍,紅,", , , , , , , , , ",0,0,紅藍紅藍紅,0>3,3>8,8>6,忠,梅,派,奧,忠,刺,忠,147,N,N,N
70,"168
247
378
240
257
oox
1680
4790
3568
5690
1580
ooox
0>5 x
1270 20-58+
2469 58+
oooo
5>6 x
23469 578+
ooooo
6>7 x
23469 
ooooo",785309,4.0,線瓦,2020-06-16 00:00:00,1,,,,,,,,,,,,,三藍活,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , , , , , , ",0,0,紅紅藍藍藍,0>5,5>6,6>7,派,德,忠,忠,忠,德,派,168,N,N,N
71,"138 6+
120
389 6+
456 6-
589
oox
1367
1678
2368
1290
1290
ooox
0>2 o
1678
1236 6-
1369 2+
4580
xxxx",508436,6.0,線瓦,2020-06-17 00:00:00,1,,,,,,,,,,,,,三紅,oox,ooox,xxxx,,,紅,紅,紅,,,", , , , , , , , , ",0,0,紅紅紅,0>2,,,娜,忠,,忠,奧,刺,娜,138,N,N,N
72,"123 3-
246 3+ 6-
579 3+ 79-
490
459
ooo
1560
3459 1+
1459 149-
1368 1368-
2460
ooxx
0>3 x
1560 3+
2578
5789 3+
4589
4589
oooo
3>6 o
45689 3+
ooooo",271095,5.0,面瓦,2020-06-17 00:00:00,1,,不是我打的,,,,,,,,,,,三藍死,ooo,ooxx,oooo,ooooo,,藍,紅,藍,藍,,", , , , , , , , , ",0,0,藍紅藍藍,0>3,3>6,,奧,忠,忠,德,忠,梅,奧,123,N,N,N
73,"169
289
239
347 3- 5+
278
oox
1670
1379
1890
1890
1890
ooox
0>4 o
1234 1234-
2469 1+ 46-
3490 1+ 40-
3478 160+
oooo
4>9 o
34789
ooooo
9>3 o
34789
ooooo",260174,4.0,面瓦,2020-06-17 00:00:00,2,,不是我打的,,,,,,,,,,,三藍死,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , , , , , , ",0,0,紅紅藍藍藍,0>4,4>9,9>3,德,梅,忠,奧,梅,忠,德,169,N,N,N
74,"479 1+
234
369
246
457
oox
3469
1367
2678 2-
1479 
2390 
ooox
0>2 o
1369 
2379 6+ 79-
2379 1468+
ooox",549680,,線瓦,2020-06-18 00:00:00,1,,,,,,,,,,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , , , , , , ",0,0,紅紅紅,0>2,,,梅,忠,,忠,娜,刺,梅,479,N,N,Y
75,"138
279
350
459
345
ooo
3456
3457
3890 9-
2469 2-
3450
ooox
0>5 x
1289
1279
3479
3489 12670+
oooo
5>9 o
34589 89-
34679 3479-
34789
23479 249-
23489
oooxx 
9>2 o
12790 12-
12789 289-
12370 8+
ooooo",845630,0.0,線瓦,2020-06-21 00:00:00,1,,,,,,,,,,,,,三藍死,ooo,ooox,oooo,ooooo,,藍,紅,藍,藍,,", , , , , , , , , ",0,0,藍紅藍藍,0>5,5>9,9>2,梅,德,忠,忠,娜,德,梅,138,N,N,N
76,"137
256
350
456
356
ooo
3456
1356 7+
3568
2356 9+
3560
ooox
0>4 o
1357
2450
3456
3456 9+
3456
ooox
4>9 o
34590 39- 6+
35679
ooooo
9>6 o
35679
oooox",089467,,面瓦,2022-01-28 00:00:00,1,1-338,Kay,,,,,,,海月,,,,三紅,ooo,ooox,ooox,ooooo,oooox,藍,紅,紅,藍,紅,", , , , , , 海月, , , ",0,1,藍紅紅藍紅,0>4,4>9,9>6,刺,奧,德,忠,奧,忠,刺,137,N,N,N
77,"348 1+
267
379 6+
458
589
ooo
5679 5-
5789
1589
1589 6+
5890
ooox
0>5 x
1890 7+
1289
3789
4790 123+
ooox
5>9 o
15689
15689
17890
17890
17890
ooooo
9>7o
17890 17- 4+
17890
ooooo
",235468,8.0,面瓦,2022-01-28 00:00:00,2,,Kay,,海月,,,,,,,,,三藍死,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,", 海月, , , , , , , , ",0,1,藍紅紅藍藍,0>5,5>9,9>7o,忠,德,忠,忠,奧,德,忠,348,N,N,Y
78,"158
234 6+
234 69+
245
257
ooo
2579 7- 6+
2578
3478 4-
2579 6+
2570
oooo
0>5 x
1278
1257
2347 0+
1347 80+
oooo
",925681,8.0,面瓦,2022-01-28 00:00:00,3,,Kay,,,,海月,,,,,,,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,", , , 海月, , , , , , ",0,1,藍藍藍,0>5,,,忠,德,,梅,忠,德,忠,158,Y,N,N
79,"190
269
378
456
159
oox
5680
2379
5680
1479
1890
oooo
0>9 o
1890
oooo
9>4 x
12890
ooooo
",475218,8.0,面瓦,2022-01-28 00:00:00,4,,Kay,,,,,,,海月,,,,三藍死,oox,oooo,oooo,ooooo,,紅,藍,藍,藍,,", , , , , , 海月, , , ",0,1,紅藍藍藍,0>9,9>4,,忠,忠,刺,派,刺,德,忠,190,N,Y,N
80,"278 1+
267
246 3+
470
567
oox
2346
2780
3468
2790
ooxx
0>6 o
1458
1248 148-
2346 46-
1469 469-
4568
oooo
6>9 o
45689
45689 7+
ooooo
9>2 x
45689
ooooo",037196,2.0,面瓦,2022-01-28 00:00:00,5,,Kay,,海月,,,,,,,,,三藍活,oox,ooxx,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", 海月, , , , , , , , ",0,1,紅紅藍藍藍,0>6,6>9,9>2,刺,梅,派,奧,忠,忠,刺,278,N,N,Y
81,"123
258
367
490 27+
356
ooo
3567
3567
3568
3569
3560
ooox
0>4 o
1457 5-
2479 47-
1356 5-
3456 9+
1567
ooox
4>9 o
34569 5- 12+
ooooo
9>3 o
35679 79-
34560 3456- 8+
34569 18+
ooooo
",270859,5.0,面瓦,2022-01-28 00:00:00,6,,Kay,,,,,海月,,,,,,三藍活,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,", , , , 海月, , , , , ",0,1,藍紅紅藍藍,0>4,4>9,9>3,德,忠,梅,忠,忠,派,德,123,N,N,N
82,"148
260
137
124 38+
156
oox
4670
1379
3480
1579 17- 2+
3480
ooox
0>4 x
1378
1378 8- 2+
1380 26+
oooo
4>5 o
3480 380-
13680 2+
ooooo
5>7 o
13680 
ooooo",954760,0.0,面瓦,2022-01-28 00:00:00,7,,Kay,海月,,,,,,,,,,三藍死,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,"海月, , , , , , , , , ",0,1,紅紅藍藍藍,0>4,4>5,5>7,梅,德,娜,忠,德,娜,梅,148,N,N,N
83,"126
258
369
147
159
oox
1680
1469 6- 7+
1246 8+
4679 128+
oooo
0>9 o
4679
oooo
9>7 o
14679
ooooo",853209,4.0,面瓦,2022-01-28 00:00:00,8,,Kay,,,,,,海月,,,,,三藍活,oox,oooo,oooo,ooooo,,紅,藍,藍,藍,,", , , , , 海月, , , , ",0,1,紅藍藍藍,0>9,9>7,,派,梅,忠,忠,忠,娜,派,126,N,N,N
84,"189
258
139
148
159
oox
6789
3478 2+
3478 5+
3789
4780
oooo
0>4 o
4780
ooox
4>3 o
23578 358-
13480
13480 8-
13458 90+
ooooo
3>9 o
34689
35789 39-
34589
34589 7+
ooooo",261743,4.0,面瓦,2022-01-28 00:00:00,9,,Kay,,,,,海月,,,,,,三藍活,oox,oooo,ooox,ooooo,ooooo,紅,藍,紅,藍,藍,", , , , 海月, , , , , ",0,1,紅藍紅藍藍,0>4,4>3,3>9,忠,派,梅,德,派,忠,忠,189,N,N,N
85,"479 1+
479 12+
479 23+
249 13+
157
ooo
1479 1-
1457 1-
1578
2347 0- 9+
2340
ooxx
0>7 x
1578
1257
1578 39+
ooox
7>5 o
14569
12569 1- 4+
12569 34+
ooooo
5>9 o
15679 15-
25689 2-
25689 2- 1+
oooox",406782,,面瓦,2022-01-28 00:00:00,10,,Kay,,海月,,,,,,,,,三紅,ooo,ooxx,ooox,ooooo,oooox,藍,紅,紅,藍,紅,", 海月, , , , , , , , ",0,1,藍紅紅藍紅,0>7,7>5,5>9,娜,奧,忠,忠,刺,忠,娜,479,N,N,Y
86,"150
278
369
456
468
ooo
4568
4568 27+
ooox
0>1 x
2589 1+
2389
3589 3- 0+
4578
2690
ooox
1>8 o
34680 4-
34680
34570
34680 0- 5+
12457
oxxxx",274185,,面瓦,2022-01-28 00:00:00,11,,Kay,,,海月,,,,,,,,三紅,ooo,ooox,ooox,oxxxx,,藍,紅,紅,紅,,", , 海月, , , , , , , ",0,1,藍紅紅紅,0>1,1>8,,忠,奧,派,奧,德,梅,忠,150,Y,Y,N
87,"159
278
369
460
590
oox
2368
3789
2568
3689 7+
1380
ooox
0>4 o
1458 5-
2568 5- 34+
2568 2568- 3+
1456
1569
ooox",630725,,面瓦,2022-01-28 00:00:00,12,,Kay,,,,,,海月,,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , , 海月, , , , ",0,1,紅紅紅,0>4,,,德,忠,,忠,忠,梅,德,159,Y,N,N
88,"478 1+
250
369
459 8+
456
oox
3679
2790
3489 4-
3679 8+
2350
ooxx
0>5 o
1579 57- 2+
1579 2+
3457 5-
4579 5-
1579
oooo
5>4 o
14579 6+
ooooo
4>1 o
14579 0+
ooooo",326874,5.0,面瓦,2022-01-28 00:00:00,13,,Kay,,,,,海月,,,,,,三藍活,oox,ooxx,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , 海月, , , , , ",0,1,紅紅藍藍藍,0>5,5>4,4>1,忠,忠,梅,忠,梅,忠,忠,478,N,N,Y
89,"168 3+
234
349
458
158
oox
2368 8-
2347
2680
2489 1+
4580
ooox
0>4 o
1349 9-
2349
2346
1249
ooox",361074,,面瓦,2022-01-28 00:00:00,14,,Kay,,,,,,,,,海月,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , , , , , 海月, ",0,1,紅紅紅,0>4,,,奧,梅,,德,梅,忠,奧,168,N,N,N
90,"280 16+
279
238
457
257
ooo
2570 50- 6+
2579
2578
2579 13+
oooo
0>2 x
5790 79- 6+
2579 1346+
oooo",840617,2.0,面瓦,2022-01-28 00:00:00,15,,Kay,,,,,,,,海月,,,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,", , , , , , , 海月, , ",0,1,藍藍藍,0>2,,,德,忠,,派,娜,忠,德,280,N,Y,Y
91,"148
270
148 3+
148
158
oox
1690 0- 5+
1270 0- 5+
1348 56+
oooo
0>8 
1348
oooo
8>4 o
13480
ooooo",927508,8.0,面瓦,2022-01-28 00:00:00,16,,Kay,海月,,,,,,,,,,三藍死,oox,oooo,oooo,ooooo,,紅,藍,藍,藍,,"海月, , , , , , , , , ",0,1,紅藍藍藍,0>8,8>4,,派,梅,忠,忠,忠,奧,派,148,N,N,N
92,"278 169+
ooo
2678 1+
2378
4780 8- 9+
2578 9+
2678
ooox
0>2 x
1360 30- 79+
1380 30-
1390
1670 9+
1346
ooox
2>5 o
25780 5780- 1+
35670 670- 2+
34560 360-
35670 670- 12+
36790
ooooo
5>7 o
35670 0-
35670 30- 28+
36790 3670-
35670
oooox",945287,,面瓦,2022-01-28 00:00:00,17,,Kay,,,,海月,,,,,,,三紅,ooo,ooox,ooox,ooooo,oooox,藍,紅,紅,藍,紅,", , , 海月, , , , , , ",0,1,藍紅紅藍紅,0>2,2>5,5>7,忠,奧,德,忠,娜,德,忠,278,N,N,Y
93,"167
269
346
147
359
ooo
4790 7- 6+
3579
2359 59- 68+
2369
3590
oooo
0>5 o
3590
ooox
5>6 o
12689 69-
12368 6-
34569 56- 80+
35679 69- 80+
35689
oooox
",307168,9.0,線瓦,2022-02-13 23:24:00,1,1-311,,銓,ZZ,bless,黑羊,發達,開司,sbear,eric,轆,百態,三藍活,ooo,oooo,ooox,oooox,,藍,藍,紅,藍,,"銓, ZZ, BLESS, 黑羊, 發達, 開司, SBEAR, ERIC, 轆, 百態",1,2,藍藍紅藍,0>5,5>6,,娜,忠,派,奧,忠,忠,娜,167,N,N,N
94,"156
126
378
470 8+
157
ooo
2460 2-
1357 2+
4780
1579
1570
ooox
0>4 x
1279
2457 5-
1379 6+
3457 5-
1570
ooox
4>7 o
12689 129- 5+
13789 45+
ooooo
7>9 o
17890 19- 56+
13790 10- 56+
17890 56+
oooox",651408,,線瓦,2022-02-13 23:24:00,2,1-311,,雷孟,開司,ZZ,轆,黑羊,百態,bless,eric,sbear,發達,三紅,ooo,ooox,ooox,ooooo,oooox,藍,紅,紅,藍,紅,"雷孟, 開司, ZZ, 轆, 黑羊, 百態, BLESS, ERIC, SBEAR, 發達",1,2,藍紅紅藍紅,0>4,4>7,7>9,派,奧,忠,德,奧,娜,派,156,Y,N,N
95,"158
238
467 3+
345
567
oox
1360 1- 4+
6780 0- 4+
1238
6780 8- 9+
1680
oooo
0>6 x
1680 680- 4+
1248
3469 6-
2348 679+
ooox
6>1 o
12458 4-
12458 670+
ooooo
12458
ooooo",790361,1.0,線瓦,2022-02-14 12:27:00,1,1-312,,快樂,ZZ,發達,百態,sbear,開司,轆,bless,雷孟,海月,三藍死,oox,oooo,ooox,ooooo,ooooo,紅,藍,紅,藍,藍,"快樂, ZZ, 發達, 百態, SBEAR, 開司, 轆, BLESS, 雷孟, 海月",1,3,紅藍紅藍藍,0>6,6>1,,德,派,梅,梅,忠,忠,德,158,Y,N,N
96,"158
247
368
489
258
oox
3680
2479
1489
1689
1380
ooox
0>3 x
1245
1240 1-
3689
1457 5- 3+
1250
oooo
3>8 x
12590
ooooo
8>6 o
12590 1250- 3678+
13589 1589- 67+
12590 125- 3678+
ooooo",738654,,線瓦,2022-02-15 12:44:00,1,1-313,,海月,炸彈狂,發達,ZZ,黃某人,開司,TEN,Bless,轆,sbear,三藍活,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,"海月, 炸彈狂, 發達, ZZ, 黃某人, 開司, TEN, BLESS, 轆, SBEAR",1,5,紅紅藍藍藍,0>3,3>8,8>6,忠,娜,德,忠,梅,派,忠,158,Y,N,N
97,"167
289
138
148
159
ooo
1569
1579
1359 8+
4890 6+
1890
ooox
0>1 x
1457
2457
3589
2489 0+
2589
oooo
1>8 o
25689
ooooo
",317692,2.0,面瓦,2022-02-21 00:00:00,1,1-296,,,海月,,,,,,,,,三藍死,ooo,ooox,oooo,ooooo,,藍,紅,藍,藍,,", 海月, , , , , , , , ",0,1,藍紅藍藍,0>1,1>8,,忠,娜,忠,娜,忠,忠,忠,167,N,N,N
98,"147
278
370
468
257
oox
1690
1270
1248 1-
1790
1790
oooo
0>1 o
1790
ooox
1>3 o
12378 13-
13790 2458+
ooooo
3>9 x
13470
ooooo
",829631,0.0,面瓦,2022-02-21 00:00:00,2,,,,,,,,,,,海月,,三藍活,oox,oooo,ooox,ooooo,ooooo,紅,藍,紅,藍,藍,", , , , , , , , 海月, ",0,1,紅藍紅藍藍,0>1,1>3,3>9,忠,梅,派,梅,忠,忠,忠,147,N,N,N
99,"158
258
350
468
258
oox
4680
3570
1468
3690
3460
oooo
0>6 o
3460 125789+
ooox
6>5 x
23459 9-
34789 478-
12349 19-
13479 13479- 5+
23469
ooooo
5>9 x
23679 2369-
23689 269-
23689 4+
ooooo",715032,4.0,面瓦,2022-03-05 00:00:00,1,,,UD,海月,Amy,心地,,,,健一,HAO,,三藍活,oox,oooo,ooox,ooooo,ooooo,紅,藍,紅,藍,藍,"UD, 海月, AMY, 心地, , , , 健一, HAO, ",1,1,紅藍紅藍藍,0>6,6>5,5>9,奧,忠,德,娜,忠,德,奧,158,Y,N,N
100,"129
258
369
470
257
ooo
2570 16+
ooox
0>5 o
2567
2578
2589
4590
1257
ooox
5>7 o
25679
35679
45670 567-
35679 1280+
ooooo
7>2 o
25679 
oooox",109823,,面瓦,2022-03-05 00:00:00,2,,,HAO,,UD,海月,Amy,心地,,,,健一,三紅,ooo,ooox,ooox,ooooo,oooox,藍,紅,紅,藍,紅,"HAO, , UD, 海月, AMY, 心地, , , , 健一",1,1,藍紅紅藍紅,0>5,5>7,7>2,娜,忠,忠,刺,忠,忠,娜,129,N,N,N
101,"269 1+
489 2+
357
340
159 
oxx
4680
2468 17+
ooox
0>7 o
4780 7- 15+
4789 47-
4670 13589+
ooox",956274,,面瓦,2022-03-05 00:00:00,3,,沒月,,,,,,,,,,,三紅,oxx,ooox,ooox,,,紅,紅,紅,,,", , , , , , , , , ",0,0,紅紅紅,0>7,,,忠,派,,忠,梅,娜,忠,269,N,N,Y
102,"156
238
378
367 4+
579
oox
3469
1467
2780
1690
2670
oooo
0>6 x
1247
2470
2347
2470 19+
ooox
6>7 o
13470 5+
ooooo
7>8 x
13470 2569+
ooooo",692817,5.0,娛樂,2022-03-05 00:00:00,1,,,,UD,海月,Amy,心地,,,,健一,HAO,三藍活,oox,oooo,ooox,ooooo,ooooo,紅,藍,紅,藍,藍,", UD, 海月, AMY, 心地, , , , 健一, HAO",1,1,紅藍紅藍藍,0>6,6>7,7>8,忠,刺,梅,派,忠,忠,忠,156,Y,N,N
103,"145
256
389
168 49+
357
ooo
3579 6+
2357
1358
3567 9+
1390
ooox
0>5 o
1356
2357
2357
1345
3578
oooo
5>6 o
35678 12490+
ooooo",913672,5.0,面瓦,2022-03-05 00:00:00,4,,,,UD,海月,Amy,心地,,,,健一,HAO,三藍活,ooo,ooox,oooo,ooooo,,藍,紅,藍,藍,,", UD, 海月, AMY, 心地, , , , 健一, HAO",1,1,藍紅藍藍,0>5,5>6,,忠,忠,奧,娜,忠,忠,忠,145,Y,N,N
104,"190 3+
240 3+
120 2- 3+
179 4+
567 
oxx
1690
1290 2- 7+
1249 8+
2489
1490
ooox
0>2 x
1348 4-
1289 9-
1239 129-
1248
oooo
2>9 x
12348
ooooo
12348
ooooo",759084,2.0,面瓦,2022-03-05 00:00:00,5,,,,,健一,HAO,,UD,海月,Amy,心地,,三藍活,oxx,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , 健一, HAO, , UD, 海月, AMY, 心地, ",1,1,紅紅藍藍藍,0>2,2>9,,奧,忠,德,忠,梅,娜,奧,190,N,Y,N
105,"347 1+
350 2+
678 3+
459
159
oox
3467
1378
1780
4790 7-
1290
ooox
0>4 o
1480 4-
2345 4-
3450
3458 167+
ooox",561740,,面瓦,2022-03-05 00:00:00,6,,,Amy,心地,,,,健一,HAO,,UD,海月,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"AMY, 心地, , , , 健一, HAO, , UD, 海月",1,1,紅紅紅,0>4,,,梅,派,,德,派,刺,梅,347,N,N,Y
106,"168
249
340
478 23+
125
ooo
1256 4+
1257 4+
2578
1230 49+
oooo
0>2 x
1480
1340 40-
4578 4578- 2+
1348
1480
ooox
2>3 o
15890 1890- 3+
14680 1-
14780 1-
15680 0-
12590
oooxx
3>6 o
15680
13568
34678 34678- 2+
13568
ooooo",794286,1.0,面瓦,2022-03-05 00:00:00,7,瓦1-20,,,,健一,HAO,,UD,海月,Amy,心地,,三藍活,ooo,oooo,ooox,oooxx,ooooo,藍,藍,紅,紅,藍,", , 健一, HAO, , UD, 海月, AMY, 心地, ",1,1,藍藍紅紅藍,0>2,2>3,3>6,忠,奧,忠,忠,德,忠,忠,168,N,N,N
107,"167
278
349
478
145
ooo
1456
1457
2478
1456 9+
1450 
ooox
0>5 o
1259
1258
2358
4567
4569
ooox
5>9 x
24678
12678
24568 37+
oooox
9>6 o
45690 4560-
35680 356- 9+
12348 234- 9+
12568 8- 9+
13568
ooooo",724960,0.0,面瓦,2022-03-05 00:00:00,8,,,,,健一,HAO,,UD,海月,Amy,心地,,三藍死,ooo,ooox,ooox,oooox,ooooo,藍,紅,紅,藍,藍,", , 健一, HAO, , UD, 海月, AMY, 心地, ",1,1,藍紅紅藍藍,0>5,5>9,9>6,梅,忠,奧,忠,德,忠,梅,167,N,N,N
108,"123
269
345
478
458
oox
3469
2789
6780 5+
2479
2790
oooo
0>9 o
2790
oooo
9>1 o
12790
oooxx
1>5 x
13689 1689- 0+
14689 189- 5+
12468 148-
12689 350+
oooox",509423,,線瓦,2022-03-17 00:00:00,1,44956.0,我旁觀,,,,,,,,,,,三紅,oox,oooo,oooo,oooxx,oooox,紅,藍,藍,紅,紅,", , , , , , , , , ",0,0,紅藍藍紅紅,0>9,9>1,1>5,娜,德,忠,忠,奧,刺,娜,123,N,N,N
109,"789 1+
245
367
458
578
ooo
2560 4+
5789
5789
5789 1+
2560
ooox
0>4 o
1578
2457
3457
4579
5789
oooo
4>9 o
56789 0+
ooooo",034698,5.0,線瓦,2022-03-26 00:00:00,1,,,,,,海月,,,,,,,三藍活,ooo,ooox,oooo,ooooo,,藍,紅,藍,藍,,", , , 海月, , , , , , ",0,1,藍紅藍藍,0>4,4>9,,刺,德,派,忠,德,忠,刺,789,N,N,Y
